run_id,date,instrument_name,number_of_reads,run_type,total_gigabases
682,2016-09-05,HiSeq4000,2809758835,SR125,351
683,2016-08-19,HiSeq2500,3276682926,PE125,409
684,2016-08-16,MiSeq,0,PE300,0
685,2016-08-22,PacBio,,,
686,2016-08-22,PacBio,,,
687,2016-08-22,MiSeq,,,
688,2016-08-25,HiSeq4000,4866457038,PE150,729
689,2016-08-31,HiSeq2500,2013639722,PE125,251
690,2016-08-25,PacBio,,,
691,2016-08-25,MiSeq,,,
692,2016-09-21,HiSeq2500,1865729954,SR125,233
693,2016-08-26,PacBio,,,
694,2016-08-26,NextSeq,257478038,SR150,38
695,2016-08-29,MiSeq,,,
696,2016-08-29,MiSeq,,,
697,2016-08-30,NextSeq,232374368,SR75,17
698,2016-08-31,PacBio,,,
699,2016-09-22,HiSeq4000,1729713992,SR125,216
700,2016-09-01,MiSeq,,,
701,2016-09-02,MiSeq,,,
702,2016-09-05,PacBio,,,
703,2016-09-06,MiSeq,0,PE300,0
704,2016-09-06,MiSeq,,,
705,2016-09-06,MiSeq,,,
707,2016-09-06,MiSeq,,,
708,2016-09-06,MiSeq,,,
709,2016-09-06,MiSeq,,,
710,2016-09-06,MiSeq,0,PE300,0
711,2016-09-07,HiSeq2500,0,PE125,0
712,2016-09-15,HiSeq4000,3045184655,SR125,380
713,2016-09-12,PacBio,,,
714,2016-09-14,NextSeq,351358780,PE150,52
715,2016-09-14,PacBio,,,
716,2016-09-26,HiSeq2500,230396042,SR125,28
717,2016-09-30,HiSeq2500,296182512,PE150,44
718,2016-09-26,HiSeq2500,389735265,SR70,27
719,2016-09-19,MiSeq,,,
720,2016-09-19,PacBio,,,
721,2016-09-20,MiSeq,,,
722,2016-09-20,MiSeq,0,PE250,0
723,2016-10-11,HiSeq2500,337970525,SR70,23
724,2016-09-20,MiSeq,,,
725,2016-09-21,NextSeq,24536546,PE75,1
726,2016-11-04,HiSeq2500,3155985,SR125,0
727,2016-10-20,HiSeq4000,5544270604,PE150,831
728,2016-09-26,PacBio,,,
729,2016-09-26,PacBio,,,
